DepartureTime,FlightNumber,;#Flight Id,Category,Positions,Terminal,Ground Handler,MakeupUnit,MakeupOpening,MakeupClosing,AssignedCarousel,UnassignedReason
2040-12-05 13:20:00,TR3629,226,Wide,3,T2,TR,T5CW001L,2040-12-05 10:20:00,2040-12-05 12:50:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 13:20:00,TR2132,519,Wide,3,T2,TR,T5CW011L,2040-12-05 10:20:00,2040-12-05 12:50:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 13:35:00,TR3669,336,Wide,3,T2,TR,T5CW003R,2040-12-05 10:35:00,2040-12-05 13:05:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 14:00:00,TZ5515,218,Narrow,7,T1,TZ,T5CE003,2040-12-05 11:00:00,2040-12-05 13:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 14:00:00,TR2066,213,Wide,3,T1,TR,T5CE008L,2040-12-05 11:00:00,2040-12-05 13:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 14:00:00,TZ3607,200,Narrow,7,T2,TZ,T5CW009,2040-12-05 11:00:00,2040-12-05 13:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 14:00:00,TR2702,343,Wide,3,T2,TR,T5CW003L,2040-12-05 11:00:00,2040-12-05 13:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 14:30:00,TR2424,238,Wide,3,T2,TR,T5CW007R,2040-12-05 11:30:00,2040-12-05 14:00:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 14:30:00,TR80,247,Wide,3,T1,TR,T5CE005R,2040-12-05 11:30:00,2040-12-05 14:00:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 14:40:00,TR2458,227,Wide,3,T2,TR,T5CW007L,2040-12-05 11:40:00,2040-12-05 14:10:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 15:20:00,TR2288,256,Wide,3,T2,TR,T5CW001L,2040-12-05 12:20:00,2040-12-05 14:50:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 15:20:00,TR2482,594,Wide,3,T1,TR,T5CE008L,2040-12-05 12:20:00,2040-12-05 14:50:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 15:30:00,TR2328,276,Wide,3,T2,TR,T5CW011L,2040-12-05 12:30:00,2040-12-05 15:00:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 15:30:00,TR2112,246,Wide,3,T2,TR,T5CW007R,2040-12-05 12:30:00,2040-12-05 15:00:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 15:55:00,TR2476,386,Wide,3,T2,TR,T5CW003R,2040-12-05 12:55:00,2040-12-05 15:25:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 16:00:00,TR1978,311,Wide,3,T1,TR,T5CE009L,2040-12-05 13:00:00,2040-12-05 15:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 16:05:00,TZ5509,272,Narrow,7,T2,TZ,T5CW009,2040-12-05 13:05:00,2040-12-05 15:35:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 16:15:00,TR1976,324,Wide,3,T1,TR,T5CE005R,2040-12-05 13:15:00,2040-12-05 15:45:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 16:20:00,TR3607,327,Wide,3,T2,TR,T5CW007L,2040-12-05 13:20:00,2040-12-05 15:50:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 16:35:00,TR2464,290,Wide,3,T1,TR,T5CE008L,2040-12-05 13:35:00,2040-12-05 16:05:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 16:45:00,TZ5517,332,Narrow,7,T1,TZ,T5CE001,2040-12-05 13:45:00,2040-12-05 16:15:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 17:00:00,TR3653,317,Wide,3,T2,TR,T5CW003L,2040-12-05 14:00:00,2040-12-05 16:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 17:00:00,TR2068,284,Wide,3,T2,TR,T5CW007R,2040-12-05 14:00:00,2040-12-05 16:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 17:10:00,TZ108,303,Narrow,7,T1,TZ,T5CE003,2040-12-05 14:10:00,2040-12-05 16:40:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 17:30:00,TR2656,291,Wide,3,T2,TR,T5CW007L,2040-12-05 14:30:00,2040-12-05 17:00:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 17:35:00,TZ302,330,Narrow,7,T2,TZ,T5CW005,2040-12-05 14:35:00,2040-12-05 17:05:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 17:35:00,TR3637,591,Wide,3,T1,TR,T5CE008L,2040-12-05 14:35:00,2040-12-05 17:05:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 17:35:00,TZ336,337,Narrow,7,T1,TZ,T5CE004,2040-12-05 14:35:00,2040-12-05 17:05:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 17:40:00,TR3666,461,Wide,3,T2,TR,T5CW011L,2040-12-05 14:40:00,2040-12-05 17:10:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 17:50:00,TR2726,371,Wide,3,T2,TR,T5CW003R,2040-12-05 14:50:00,2040-12-05 17:20:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 18:00:00,TR2108,335,Wide,3,T2,TR,T5CW011R,2040-12-05 15:00:00,2040-12-05 17:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 18:00:00,TR76,529,Wide,3,T2,TR,T5CW007R,2040-12-05 15:00:00,2040-12-05 17:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 18:05:00,TR2968,444,Wide,3,T1,TR,T5CE005R,2040-12-05 15:05:00,2040-12-05 17:35:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 18:10:00,TR2272,368,Wide,3,T2,TR,T5CW001L,2040-12-05 15:10:00,2040-12-05 17:40:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 18:15:00,TR3639,416,Wide,3,T1,TR,T5CE005L,2040-12-05 15:15:00,2040-12-05 17:45:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 18:20:00,TR2158,369,Wide,3,T1,TR,T5CE009L,2040-12-05 15:20:00,2040-12-05 17:50:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 18:35:00,TR1974,344,Wide,3,T2,TR,T5CW003L,2040-12-05 15:35:00,2040-12-05 18:05:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 18:50:00,TR2426,334,Wide,3,T1,TR,T5CE008L,2040-12-05 15:50:00,2040-12-05 18:20:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
