DepartureTime,FlightNumber,;#Flight Id,Category,Positions,Terminal,Ground Handler,MakeupUnit,MakeupOpening,MakeupClosing,AssignedCarousel,UnassignedReason,OriginalCategory,FinalCategory,CategoryChanged,AssignedCarousels,SplitCount
2040-12-05 08:20:00,MI3640,163,Narrow,3,W,MI,T5CW006R,2040-12-05 05:50:00,2040-12-05 07:50:00,SPLIT,,Narrow,Narrow,NO,MUC106+MUC107+MUC108,3
2040-12-05 08:20:00,TR2782,137,Wide,3,E,TR,R5CE503L,2040-12-05 05:50:00,2040-12-05 07:50:00,MUC103,,Narrow,Wide,YES,MUC103,1
2040-12-05 08:20:00,MI2493,257,Narrow,3,W,MI,T5CW010L,2040-12-05 05:50:00,2040-12-05 07:50:00,SPLIT,,Narrow,Narrow,NO,MUC109+MUC110+MUC205,3
2040-12-05 08:25:00,TR2106,101,Wide,3,W,TR,R5DW701L,2040-12-05 05:55:00,2040-12-05 07:55:00,MUC110,,Narrow,Wide,YES,MUC110,1
2040-12-05 08:30:00,MI3624,659,Wide,3,W,MI,T5CW010R,2040-12-05 06:00:00,2040-12-05 08:00:00,MUC210,,Narrow,Wide,YES,MUC210,1
2040-12-05 08:30:00,MI802,162,Wide,3,W,MI,R5CW502L,2040-12-05 06:00:00,2040-12-05 08:00:00,MUC209,,Narrow,Wide,YES,MUC209,1
2040-12-05 08:30:00,MI1979,85,Narrow,3,W,MI,T5CW006L,2040-12-05 06:00:00,2040-12-05 08:00:00,MUC207,,Narrow,Narrow,NO,MUC207,1
2040-12-05 08:30:00,TR94,70,Narrow,3,E,TR,R5CE604R,2040-12-05 06:00:00,2040-12-05 08:00:00,MUC102,,Narrow,Narrow,NO,MUC102,1
2040-12-05 08:30:00,TR3611,254,Wide,3,E,TR,R5DE703R,2040-12-05 06:00:00,2040-12-05 08:00:00,MUC103,,Narrow,Wide,YES,MUC103,1
2040-12-05 08:30:00,MI162,521,Wide,3,E,MI,R5CE503R,2040-12-05 06:00:00,2040-12-05 08:00:00,MUC104,,Narrow,Wide,YES,MUC104,1
2040-12-05 08:35:00,TR2662,232,Wide,3,W,TR,R5DW703L,2040-12-05 06:05:00,2040-12-05 08:05:00,MUC105,,Narrow,Wide,YES,MUC105,1
2040-12-05 08:50:00,TZ5513,90,Wide,7,W,TZ,T5CW004,2040-12-05 06:20:00,2040-12-05 08:20:00,MUC106,,Wide,Wide,NO,MUC106,1
2040-12-05 08:55:00,TR2994,323,Wide,3,W,TR,T5CW007R,2040-12-05 06:25:00,2040-12-05 08:25:00,MUC107,,Narrow,Wide,YES,MUC107,1
2040-12-05 09:00:00,TR2428,133,Narrow,3,W,TR,R5CW603L,2040-12-05 06:30:00,2040-12-05 08:30:00,MUC208,,Narrow,Narrow,NO,MUC208,1
2040-12-05 09:00:00,TR92,224,Narrow,3,E,TR,T5CE008L,2040-12-05 06:30:00,2040-12-05 08:30:00,MUC201,,Narrow,Narrow,NO,MUC201,1
2040-12-05 09:00:00,MI588,298,Narrow,3,E,MI,R5CE501R,2040-12-05 06:30:00,2040-12-05 08:30:00,MUC103,,Narrow,Narrow,NO,MUC103,1
2040-12-05 09:05:00,MI3633,126,Narrow,3,W,MI,R5CW502R,2040-12-05 06:35:00,2040-12-05 08:35:00,MUC209,,Narrow,Narrow,NO,MUC209,1
2040-12-05 09:10:00,MI412,277,Narrow,3,E,MI,T5CE007L,2040-12-05 06:40:00,2040-12-05 08:40:00,MUC104,,Narrow,Narrow,NO,MUC104,1
2040-12-05 09:25:00,MI296,191,Narrow,3,W,MI,T5CW003R,2040-12-05 06:55:00,2040-12-05 08:55:00,MUC210,,Narrow,Narrow,NO,MUC210,1
